Id,Type,Title,Url
"1",File,file_001.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_001.txt
"2",File,file_002.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_002.txt
"3",File,file_003.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_003.txt
"4",File,file_004.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_004.txt
"5",File,file_005.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_005.txt
"6",File,file_006.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_006.txt
"7",File,file_007.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_007.txt
"8",File,file_008.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_008.txt
"9",File,file_009.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_009.txt
"10",File,file_010.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_50/file_010.txt
"1",File,file_00001.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00001.txt
"2",File,file_00002.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00002.txt
"3",File,file_00003.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00003.txt
"4",File,file_00004.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00004.txt
"5",File,file_00005.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00005.txt
"6",File,file_00006.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00006.txt
"7",File,file_00007.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00007.txt
"8",File,file_00008.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00008.txt
"9",File,file_00009.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00009.txt
"10",File,file_00010.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00010.txt
"11",File,file_00011.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00011.txt
"12",File,file_00012.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00012.txt
"13",File,file_00013.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00013.txt
"14",File,file_00014.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00014.txt
"15",File,file_00015.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00015.txt
"16",File,file_00016.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00016.txt
"17",File,file_00017.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00017.txt
"18",File,file_00018.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00018.txt
"19",File,file_00019.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00019.txt
"20",File,file_00020.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00020.txt
"21",File,file_00021.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00021.txt
"22",File,file_00022.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00022.txt
"23",File,file_00023.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00023.txt
"24",File,file_00024.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00024.txt
"25",File,file_00025.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00025.txt
"26",File,file_00026.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00026.txt
"27",File,file_00027.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00027.txt
"28",File,file_00028.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00028.txt
"29",File,file_00029.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00029.txt
"30",File,file_00030.txt,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/POC_PermissionTest_6000/file_00030.txt
"1",Item,1_.000,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/Lists/ScanTestList/AllItems.aspx?FilterField1=ID&FilterValue1=1
3d1d9fb5-f478-4c51-88bc-1c0ba2686237,SUBSITE,Subsite01,https://whizzyapps.sharepoint.com/sites/AiSearchTest01/Subsite01
